title,date,reference,url,calificacion,precio,contains,ciudad
Apartaestudio independiente en todo El Rodadero.,14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/34035994?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.68,56",74342,"4 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Santa Marta 
"Apartamento con vista al mar, frente a la playa",14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/17176363?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.87,15",123569,"6 huéspedes,2 habitaciones,5 camas,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Apartaestudio en la playa del Irotama,14 jun. – 18 jun.,"Loft entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/30231166?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.84,70",177901,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Moderno Loft cerca a la playa,14 jun. – 18 jun.,"Loft entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/45870425?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"5.0,5",143520,"4 huéspedes,Estudio,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
APARTAESTUDIO EN EXCELENTE UBICACION - DOWNTOWN,14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/48214087?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,,60536,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Santa Marta 
El Cactus Apartamentos (Suite Junior),14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/21947695?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.93,77",170000,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Apartaestudio junto a la playa - ven a descansar,14 jun. – 18 jun.,Apartamento entero en Gaira,https://www.airbnb.com.co/rooms/33528827?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.67,39",89152,"3 huéspedes,1 habitación,1 cama,1 baño,Cocina",Santa Marta 
HOTEL CENTRO HISTORICO SANTA MARTA ADAZ DISTINCIÓN,14 jun. – 18 jun.,"Habitación de hotel boutique en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/24172050?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.36,26",128480,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Piscina",Santa Marta 
Lindo apartaestudio comodidad garantizada,14 jun. – 18 jun.,"Suite de invitados entera en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/41913658?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.86,14",60619,"5 huéspedes,1 habitación,2 camas,1 baño,Wifi,Cocina",Santa Marta 
Comfortable apartment at the best location + pool,14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/47551135?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"5.0,4",100120,"4 huéspedes,2 habitaciones,2 camas,1 baño,Wifi,Aire acondicionado,Cocina",Santa Marta 
